Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147
Репродуктив ёшдаги аёлларнинг бачадон найи узунлиги,10-12см,7-8см,9-10см,10-12см,15-18см,19-20см,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорликда пастки бачадон сигменти қачон шакланади,24 ҳафта,16 ҳафта,18 ҳафта,20 ҳафта,22 ҳафта,24 ҳафта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Уретранинг асосий анатомик хусусиятлари,ҳаммаси,инфекция ривожланишига мойил бўлган парауретрал йўлларнинг мавжудлиги,бириктирувчи тўқимадан тузилган “беланчак” қов суякга бириккан ва  уретрани кўтариб туради,туғруқдан кейин бириктирувчи тўқима шикастланиши натижасида уретрани анатомик жойланиши бузилиши ва уретероцеле ривожланиши мумкин,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чаноқ  диафрагмаси ҳосил бўлади,қиннинг чуқур кўндаланг  мускулларидан,қиннинг чуқур кўндаланг  мускулларидан,анусни кўтарувчи  мускуллар,урогенитал диафрагма,қиннинг юзаки  кўндаланг мускуллари,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туғмаган аёлларда бачадон танаси узунлигн,7-8см,6-7см,7-8см,8-9см,9-10см,11-12см,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Қин тузилишининг асосий хусусиятлари,ҳаммаси,девори кўп қаватли ясси эпителий б-н қопланган,шиллиқ қаватида безлар ва шиллиқ ости қавати йўқ,"қин ажралмаси бу фақат бўйинча безлари секрецияси, бачадон найи, қин ҳужайралари  эпителийси ҳисобига ҳосил бўлади",ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ташқи жинсий аьзолар ва қиннинг пастки қисмидан лимфа суюқлиги қуйидаги лимфа тугунларига йўналади,ташқи ёнбош  ва чов,ташқи ёнбош  ва чов,ички ёнбош,думғаза,чов,ҳаммаси нотўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорлик даврида бачадон катталашиши қуйидаги ҳисобига,ҳаммаси  тўғри,бачадон мускул толалари гипертрофияси,бачадон мускул толалари гиперплазияси,ҳомила ўсиши ҳисобига бачадон пастки сегменти чўзилиши,ҳаммаси  тўғри,ҳаммаси  нотуғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорлик даврида ташқи жинсий аьзолар қуйидагича физиологик ўзгаради,ҳаммаси тўғри,қин даҳлизи шиллиқ қаватининг цианози,вульва қон Билан таъминланиши кўпаяди,ташқи жинсий аьзоларнинг юмшаши,ҳаммаси тўғри,ҳаммаси нотўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорлик даврида энг кўп гипертрофияга учрайдиган бачадон бойламлари,юмалоқ,юмалоқ,кардинал,бачадон –думғаза,кенг,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акушерлик оралиғи бу,орқа битишма ва анус ораси,орқа битишма ва дум ораси,орқа битишма ва анус ораси,анус ва дум ораси,қов пастки қиррасидан анусгача,қов пастки қиррасидан думгача,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сийдик найининг  чаноқ деворидан ўтадиган қисмининг топографик хусусияти,ҳаммаси,кичик чаноққа умумий ёнбош артериясининг бифуркация қисмида тушади,кичик чаноққа думғаза-ёнбош бирлашмаси қисмида тушади,ички ёнбош артерияси ва унинг толалари олдидан ўтади,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорликда  ков бирлашмасининг физиологик ўзгариши ( кенгайиши ) қуйидагича,ҳаммаси тугри,0.1-0.3см,0.4-0.6 см,0.7-0.9 см,1-1.2 см,Д . 1.3-1.5 см,24 .Пубертат даврида бачадон бўйнинг қин қисми эпителий қоплами хусусияти,цилиндрик эпителий билан қопланган,. кўп қаватли  ясси ва цилиндрик эпителийнинг қирраси эктоцервикс юзасида  жойлашган,. кўп қаватли ясси мугузланувчи эпителий билан қопланган,кўп қаватли  ясси ва цилиндрик эпителийнинг қирраси  цервикал каналда жойлашган,ҳаммаси нотўғри,25 .Қин даҳлизининг катта безлари қуйидаги хусусиятга эга,альвеоляр безлар шаклида кичик ва катта протоклардан тузилган,чиқарув протоклари  катта жинсий лабларнинг ўрта ва пастки 1/3 қисми чегарасида жойлашган,даҳлиз катта безлари капсуласи вестибуляр веноз тугун б-н  чегаралайди,без муциноз секрет ажратади,ҳаммаси тугри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ташқи жинсий аъзоларга киради,ҳаммаси тугри,катта жинсий лаблар,кичик жинсий лаблар,даҳлиз катта безлари,клитор,ҳаммаси тугри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ички жинсий аъзоларга кирмайди,бартолии безлари,бачадон,бачадон найлари,тухумдонлар,қин,бартолии безлари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кичик чаноқда бачадон қуйидагича жойлашган,ҳаммаси,олдинга эгилган,бачадон буйни қин қисми ва ташқи бўғиз ўтиргич суякнинг ўсимтаси сохасида жойлашган,бачадон танаси ва бўйни бурчак остида жойлашган,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Қорин  бўшлиғида тухумдонларнинг  фиксацияси,тухумдонларнинг хусусий бойлами,тухумдонларнинг хусусий бойлами,бачадон кенг бойлами,кардиал бойлам,бачадон - думғаза,юмалоқ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Қорин парда бачадонни қуйидагича қоплайди,бачадон кенг бойламининг вароқлари орасида жойлашган,бачадон буйни ички бўғзидан олдинги юзаси бўйлаб,тана ва бўйнини бутунлай қоплайди,бачадон туби ва олдинги юзасини,фақат бачадон тубини,фақат бачадон туби ва орқа деворини,31 . Бачадон ёни клетчаткаси (параметрий),бачадон кенг бойламининг вароқлари орасида жойлашган,бачадон бўйни сохасида жойлашган,бачадон кенг бойламлари асосида,қорин  парда ва бачадоннинг зич бўлмаган боғланишини таъминлайди,бачадонни думғазага бирикувини таъминлайди,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ташқи жинсий аъзолар қон б-н қуйидаги томирлар ҳисобига таъминланади,ички уятли артерия,сон артерияси,ички уятли артерия,бачадон артерияси,ўрта ректал артерия,ёнбош артерия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон артерияси анатомик топографияси (нотўғрисини чиқаринг),унинг қин толаси буйрак артерияси б-н анастомозланади,юқорига кўтарилувчи ва пастга тушувчи толаларга бўлинади,сийдик йули б-н 1-кесишувида сийдик йўлининг орқасида жойлашади,унинг қин қисми қин деворининг олдинги ён деворидан йўналади,унинг қин толаси буйрак артерияси б-н анастомозланади,ички ёнбош артериясидан чиқади,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадоннинг осувчи аппаратига киради,кенг бойлам,кенг бойлам,тухумдон хусусий бойлами,бачадон –думғаза бойлами,кардинал,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон кардинал бойлами (нотўғрисини чиқаринг),бачадонни думгазага боглайди,бачадонни кучли сўрилишдан ушлайди,лимфатик томирларнинг ўтиш йўли,кенг бойламлар асосида жойлашади,кичик чаноқ ён деворларига боғланади,бачадонни думгазага боглайди,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ички жинсий аъзоларнинг фиксация аппратига киради,ҳаммаси тўғри,бачадон – думгаза бойлами,кардинал,сийдик пуфаги – бачадон,ҳаммаси тўғри,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тухумдон қон билан таъминланади,тухумдон артерияси ва бачадон артериясининг тухумдон толалари ҳисобига,тухумдон артерияси ва бачадон артериясининг тухумдон толалари ҳисобига,бачадон артериясининг тухумдон толалари ҳисобига,ички уятли артерия,сон артерияси ва ички ёнбош артерияси,буйрак артерия толалари ҳисобига,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кичик чаноқ кириш юзаси қуйидаги б-н чегараланган,"қовнинг юқори қирраси, номсиз чизиқлар, думғазанинг юқори қирраси","қовнинг юқори қирраси, 2-3 думғаза умуртқа бирлашмаси","қовнинг юқори қирраси, номсиз чизиқлар, думғазанинг юқори қирраси","қовнинг ўрта ички юзаси, номсиз чизиқлар, думғазанинг юқори қирраси","қовнинг пастки қирраси, номсиз чизиқлар, думғазанинг юқори қирраси","қовнинг ўрта ички юзаси, номсиз чизиқлар,  думғазанинг чўққиси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кичик чаноқ кенг қисм юзаси қуйидаги б-н чегараланган,"қовнинг ўрта ички юзаси, сон суягининг бошчаси тушадиган бўшлиғининг ўртаси, 2-3 думгаза умуртқа бирлашмаси","қовнинг юқори қирраси, номсиз чизиқлар, думғазанинг юқори қирраси","қовнинг пастки қирраси, номсиз чизиқлар, думғазанинг юқори қирраси","қовнинг ўрта ички юзаси, сон суягининг бошчаси тушадиган бўшлиғининг ўртаси, 2-3 думгаза умуртқа бирлашмаси","қовнинг ўрта ички юзаси, ўтиргич ўсимтаси, 2-3 думғаза умуртқа бирлашмаси","қовнинг пастки қирраси, ўтиргич ўсимтаси, думғаза – дум бирлашмаси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кичик чаноқ тор қисм юзаси қуйидаги б-н чегараланган,"қовнинг пастки қирраси, ўтирғич ўсимтаси, думғаза – дум бирлашмаси","қовнинг пастки қирраси, номсиз чизиқлар, думғазанинг юқори қирраси","қовнинг пастки қирраси, ўтирғич ўсимтаси, думғаза – дум бирлашмаси","қовнинг ўрта ички юзаси, утиргич усимтаси, 2-3 думгаза умуртка бирлашмаси","қовнинг ўрта ички юзаси, сон суягининг бошчаси тушадиган бўшлиғининг ўртаси, 2-3 думғаза умуртқа бирлашмаси","қовнинг пастки қирраси,  сон суягининг бошчаси тушадиган бўшлиғининг ўртаси, дум қирраси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кичик чаноқ чиқиш текислиги  чегараланган,"симфиз пастки қирраси ўтиргич ўсиғи, дум чўққиси","симфиз пастки қирраси ўтиргич ўсиғи, дум чўққиси","симфиз пастки қирраси ўтиргич ўсимтаси,  думғаза-дум бирлашмаси","симфиз пастги қирраси ўтиргич ўсиги, думғаза - дум бирлашмаси","симфиз пастки  қирраси, номсиз чизиқлар,  дум чўққиси","симфиз пастки  қирраси, сон суяк бошчаси  косасининг ўртаси,  думғаза-дум бирлашмаси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чин конъюгата,промонториум билам қовнинг юқори қисми оралиғи,қовнинг пастки  қисми билан промонториум нуқтасигача масофа,нормада 13см тенг,промонториум билам қовнинг юқори қисми оралиғи,нормада 20-21 см тенг,симфизиснинг юқори  қирраси ва Михаэлс ромбининг юқориги бурчаги орасидаги масофа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аёл чаноғининг хусусияти ( нотўғрисини топинг):,Чаноқ бўшлиғининг пастга қараб воронкасимон торайиши,Кенг қов бурчаги ( 90-100 градус),Чаноқ бўшлиғининг пастга қараб воронкасимон торайиши,Чаноқ суяги ингичка ва силлик,Қов симфизи калта ва кенг,Кичик чаноқ бўшлиғи кириш қисмига яққол бўртиб чиқмаган,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорликнинг эрта мудатида асосий диагностик аҳамиятга эга,УЗИ – ультратовуш текшириш маълумотлари,Ҳомиладорликнинг гумонли белгилари,Ҳомиладорликнинг тахмини белгилари,Қин орқали текшириш,Ҳомиладорликдаги иммунологик тестлар,УЗИ – ультратовуш текшириш маълумотлари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорликдаги иммунологик тестлар қуйидагиларга асосланади,Хорионик гонадотропин.,Сийдикдаги эстрогенлар,Қондаги прогестерон,Плацентар лактоген,Лютеинловчи гормон,Хорионик гонадотропин.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳомиладорликда қин  орқали текширишнинг асосий белгиси,ҳаммаси,Бачадон  бўйни қисмининг  юмшаши,Пальпацияда бачадоннинг зичлашиши,Бачадон ўлчамларининг катталашиши,Бачадон ҳажмининг хайз тухтаганлигига мос равишда катталашиши ва консистенциясининг юмшаши,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
